,Model,1.5,2,3,4,Base
0,ACCESS-CM2_ssp126_r1i1p1f1,2021.0,2035.0,,,14.387260000000026
34,ACCESS-CM2_ssp245_r1i1p1f1,2022.0,2035.0,2062.0,,14.387260000000026
68,ACCESS-CM2_ssp370_r1i1p1f1,2021.0,2034.0,2059.0,2078.0,14.387261962890648
101,ACCESS-CM2_ssp585_r1i1p1f1,2020.0,2033.0,2052.0,2067.0,14.387283325195312
11,ACCESS-ESM1-5_ssp126_r1i1p1f1,2030.0,2066.0,,,15.334000000000003
45,ACCESS-ESM1-5_ssp245_r1i1p1f1,2029.0,2043.0,2088.0,,15.334000000000003
80,ACCESS-ESM1-5_ssp370_r1i1p1f1,2032.0,2048.0,2069.0,2091.0,15.334008789062523
112,ACCESS-ESM1-5_ssp585_r1i1p1f1,2027.0,2038.0,2060.0,2078.0,15.334008789062523
7,AWI-CM-1-1-MR_ssp126_r1i1p1f1,2034.0,,,,14.803700000000049
41,AWI-CM-1-1-MR_ssp245_r1i1p1f1,2030.0,2048.0,,,14.803700000000049
75,AWI-CM-1-1-MR_ssp370_r1i1p1f1,2030.0,2045.0,2070.0,,14.803704833984398
108,AWI-CM-1-1-MR_ssp585_r1i1p1f1,2027.0,2045.0,2065.0,2083.0,14.803704833984398
30,BCC-CSM2-MR_ssp126_r1i1p1f1,2030.0,,,,15.408839999999998
65,BCC-CSM2-MR_ssp245_r1i1p1f1,2030.0,2048.0,,,15.408837890625023
97,BCC-CSM2-MR_ssp370_r1i1p1f1,2028.0,2041.0,2069.0,,15.408837890625023
133,BCC-CSM2-MR_ssp585_r1i1p1f1,2026.0,2039.0,2062.0,2087.0,15.408837890625023
25,CESM2-WACCM_ssp126_r1i1p1f1,2026.0,2043.0,,,14.738800000000026
60,CESM2-WACCM_ssp245_r1i1p1f1,2028.0,2043.0,2079.0,,14.738793945312523
93,CESM2-WACCM_ssp370_r1i1p1f1,2032.0,2045.0,2066.0,2089.0,14.738793945312523
128,CESM2-WACCM_ssp585_r1i1p1f1,2026.0,2037.0,2056.0,2071.0,14.738793945312523
12,CMCC-CM2-SR5_ssp126_r1i1p1f1,2032.0,2046.0,,,15.16885000000002
46,CMCC-CM2-SR5_ssp245_r1i1p1f1,2033.0,2045.0,2074.0,,15.16885000000002
81,CMCC-CM2-SR5_ssp370_r1i1p1f1,2034.0,2044.0,2070.0,,15.168847656250023
113,CMCC-CM2-SR5_ssp585_r1i1p1f1,2030.0,2039.0,2057.0,2074.0,15.168847656250023
4,CMCC-ESM2_ssp126_r1i1p1f1,2036.0,2050.0,,,15.00436000000002
38,CMCC-ESM2_ssp245_r1i1p1f1,2035.0,2045.0,2072.0,,15.00436000000002
72,CMCC-ESM2_ssp370_r1i1p1f1,2036.0,2046.0,2069.0,,15.004357910156273
105,CMCC-ESM2_ssp585_r1i1p1f1,2034.0,2043.0,2058.0,2074.0,15.004357910156273
27,CNRM-CM6-1-HR_ssp126_r1i1p1f2,2023.0,2037.0,,,13.420950000000005
62,CNRM-CM6-1-HR_ssp245_r1i1p1f2,2025.0,2039.0,2069.0,,13.420953369140648
94,CNRM-CM6-1-HR_ssp370_r1i1p1f2,2025.0,2037.0,2062.0,2081.0,13.420953369140648
130,CNRM-CM6-1-HR_ssp585_r1i1p1f2,2024.0,2035.0,2054.0,2070.0,13.420953369140648
6,CNRM-CM6-1_ssp126_r1i1p1f2,2027.0,2058.0,,,13.702260000000024
40,CNRM-CM6-1_ssp245_r1i1p1f2,2030.0,2048.0,2084.0,,13.702260000000024
74,CNRM-CM6-1_ssp370_r1i1p1f2,2032.0,2046.0,2067.0,2084.0,13.702264404296898
107,CNRM-CM6-1_ssp585_r1i1p1f2,2028.0,2041.0,2058.0,2073.0,13.702264404296898
17,CNRM-ESM2-1_ssp126_r1i1p1f2,2034.0,2072.0,,,14.355200000000025
51,CNRM-ESM2-1_ssp245_r1i1p1f2,2030.0,2051.0,2083.0,,14.355200000000025
85,CNRM-ESM2-1_ssp370_r1i1p1f2,2032.0,2048.0,2070.0,2087.0,14.355187988281273
119,CNRM-ESM2-1_ssp585_r1i1p1f2,2027.0,2041.0,2062.0,2077.0,14.355187988281273
28,CanESM5_ssp126_r1i1p1f1,2023.0,2036.0,,,14.806600000000003
63,CanESM5_ssp245_r1i1p1f1,2021.0,2033.0,2061.0,,14.806604003906273
95,CanESM5_ssp370_r1i1p1f1,2021.0,2031.0,2050.0,2066.0,14.806604003906273
131,CanESM5_ssp585_r1i1p1f1,2020.0,2031.0,2047.0,2060.0,14.806604003906273
76,EC-Earth3-AerChem_ssp370_r1i1p1f1,2024.0,2039.0,2062.0,2079.0,14.737390136718773
59,EC-Earth3-CC_ssp245_r1i1p1f1,2037.0,2057.0,,,15.373803710937523
127,EC-Earth3-CC_ssp585_r1i1p1f1,2038.0,2049.0,2066.0,2079.0,15.373803710937523
31,EC-Earth3-Veg-LR_ssp126_r1i1p1f1,2034.0,,,,14.471100000000035
66,EC-Earth3-Veg-LR_ssp245_r1i1p1f1,2032.0,2053.0,,,14.471093750000023
98,EC-Earth3-Veg-LR_ssp370_r1i1p1f1,2031.0,2047.0,2069.0,2090.0,14.471093750000023
134,EC-Earth3-Veg-LR_ssp585_r1i1p1f1,2031.0,2044.0,2063.0,2077.0,14.471093750000023
32,EC-Earth3-Veg_ssp126_r1i1p1f1,2029.0,2079.0,,,14.90945000000005
67,EC-Earth3-Veg_ssp245_r1i1p1f1,2032.0,2049.0,2087.0,,14.909448242187523
99,EC-Earth3-Veg_ssp370_r1i1p1f1,2031.0,2046.0,2067.0,2085.0,14.909448242187523
135,EC-Earth3-Veg_ssp585_r1i1p1f1,2027.0,2041.0,2059.0,2075.0,14.909448242187523
29,EC-Earth3_ssp126_r1i1p1f1,2023.0,2043.0,,,14.822320000000047
64,EC-Earth3_ssp245_r1i1p1f1,2022.0,2045.0,2086.0,,14.822320556640648
96,EC-Earth3_ssp370_r1i1p1f1,2022.0,2039.0,2063.0,2085.0,14.822320556640648
132,EC-Earth3_ssp585_r1i1p1f1,2024.0,2036.0,2058.0,2074.0,14.822320556640648
18,FGOALS-g3_ssp126_r1i1p1f1,,,,,13.820700000000045
52,FGOALS-g3_ssp245_r1i1p1f1,2033.0,2067.0,,,13.820700000000045
86,FGOALS-g3_ssp370_r1i1p1f1,2033.0,2053.0,2088.0,,13.820703125000023
120,FGOALS-g3_ssp585_r1i1p1f1,2037.0,2051.0,2078.0,,13.820703125000023
49,GFDL-CM4_ssp245_r1i1p1f1,2028.0,2045.0,2088.0,,13.486700000000042
116,GFDL-CM4_ssp585_r1i1p1f1,2026.0,2039.0,2058.0,2077.0,13.486688232421898
9,GFDL-ESM4_ssp126_r1i1p1f1,2034.0,,,,14.03884000000005
43,GFDL-ESM4_ssp245_r1i1p1f1,2031.0,2059.0,,,14.03884000000005
78,GFDL-ESM4_ssp370_r1i1p1f1,2034.0,2051.0,2077.0,,14.038842773437523
110,GFDL-ESM4_ssp585_r1i1p1f1,2032.0,2047.0,2071.0,,14.038842773437523
26,HadGEM3-GC31-LL_ssp126_r1i1p1f3,2019.0,2034.0,,,14.34384
61,HadGEM3-GC31-LL_ssp245_r1i1p1f3,2018.0,2031.0,2059.0,,14.343835449218773
129,HadGEM3-GC31-LL_ssp585_r1i1p1f3,2019.0,2029.0,2047.0,2062.0,14.343835449218773
16,HadGEM3-GC31-MM_ssp126_r1i1p1f3,2025.0,2036.0,2087.0,,14.52484000000004
118,HadGEM3-GC31-MM_ssp585_r1i1p1f3,2022.0,2031.0,2047.0,2062.0,14.524835205078148
10,IITM-ESM_ssp126_r1i1p1f1,2049.0,,,,14.990660000000048
44,IITM-ESM_ssp245_r1i1p1f1,2039.0,2064.0,,,14.990660000000048
79,IITM-ESM_ssp370_r1i1p1f1,2035.0,2054.0,2090.0,,14.990655517578148
111,IITM-ESM_ssp585_r1i1p1f1,2038.0,2050.0,2078.0,,14.990655517578148
21,INM-CM4-8_ssp126_r1i1p1f1,2049.0,,,,14.193050000000028
55,INM-CM4-8_ssp245_r1i1p1f1,2036.0,2063.0,,,14.193050000000028
88,INM-CM4-8_ssp370_r1i1p1f1,2036.0,2053.0,2083.0,,14.193048095703148
123,INM-CM4-8_ssp585_r1i1p1f1,2031.0,2046.0,2070.0,,14.193048095703148
5,INM-CM5-0_ssp126_r1i1p1f1,2033.0,,,,13.974360000000047
39,INM-CM5-0_ssp245_r1i1p1f1,2034.0,2068.0,,,13.974360000000047
73,INM-CM5-0_ssp370_r1i1p1f1,2031.0,2048.0,2082.0,,13.974359130859398
106,INM-CM5-0_ssp585_r1i1p1f1,2029.0,2045.0,2073.0,,13.974359130859398
33,IPSL-CM5A2-INCA_ssp126_r1i1p1f1,2029.0,,,,14.063780000000008
100,IPSL-CM5A2-INCA_ssp370_r1i1p1f1,2029.0,2044.0,2068.0,2088.0,14.063775634765648
23,IPSL-CM6A-LR_ssp126_r1i1p1f1,2028.0,2051.0,,,13.911100000000033
57,IPSL-CM6A-LR_ssp245_r1i1p1f1,2027.0,2041.0,2074.0,,13.911096191406273
91,IPSL-CM6A-LR_ssp370_r1i1p1f1,2029.0,2040.0,2062.0,2081.0,13.911096191406273
125,IPSL-CM6A-LR_ssp585_r1i1p1f1,2028.0,2039.0,2055.0,2070.0,13.911096191406273
19,KACE-1-0-G_ssp126_r2i1p1f1,2022.0,2037.0,,,14.871730000000014
53,KACE-1-0-G_ssp245_r2i1p1f1,2022.0,2034.0,2069.0,,14.871730000000014
87,KACE-1-0-G_ssp370_r2i1p1f1,2022.0,2033.0,2059.0,2081.0,14.871728515625023
121,KACE-1-0-G_ssp585_r2i1p1f1,2021.0,2031.0,2053.0,2072.0,14.871728515625023
20,KIOST-ESM_ssp126_r1i1p1f1,2039.0,,,,13.869470000000035
54,KIOST-ESM_ssp245_r1i1p1f1,2031.0,2057.0,,,13.869470000000035
122,KIOST-ESM_ssp585_r1i1p1f1,2030.0,2047.0,2072.0,,13.869470214843716
22,MIROC-ES2L_ssp126_r1i1p1f2,2030.0,,,,15.650350000000003
56,MIROC-ES2L_ssp245_r1i1p1f2,2030.0,2051.0,,,15.650354003906273
90,MIROC-ES2L_ssp370_r1i1p1f2,2030.0,2048.0,2079.0,,15.650354003906273
124,MIROC-ES2L_ssp585_r1i1p1f2,2028.0,2042.0,2065.0,2087.0,15.650354003906273
1,MIROC6_ssp126_r1i1p1f1,2037.0,,,,15.857720000000029
35,MIROC6_ssp245_r1i1p1f1,2034.0,2058.0,,,15.857720000000029
69,MIROC6_ssp370_r1i1p1f1,2035.0,2051.0,2083.0,,15.857720947265648
102,MIROC6_ssp585_r1i1p1f1,2032.0,2047.0,2072.0,2090.0,15.857720947265648
89,MPI-ESM-1-2-HAM_ssp370_r1i1p1f1,2030.0,2045.0,,,14.223718261718773
24,MPI-ESM1-2-HR_ssp126_r1i1p1f1,2038.0,,,,14.760829999999999
58,MPI-ESM1-2-HR_ssp245_r1i1p1f1,2037.0,2062.0,,,14.760827636718773
92,MPI-ESM1-2-HR_ssp370_r1i1p1f1,2034.0,2050.0,2081.0,,14.760827636718773
126,MPI-ESM1-2-HR_ssp585_r1i1p1f1,2032.0,2049.0,2074.0,,14.760827636718773
2,MPI-ESM1-2-LR_ssp126_r1i1p1f1,2045.0,,,,14.41805000000005
36,MPI-ESM1-2-LR_ssp245_r1i1p1f1,2038.0,2062.0,,,14.41805000000005
70,MPI-ESM1-2-LR_ssp370_r1i1p1f1,2037.0,2053.0,2080.0,,14.418054199218773
103,MPI-ESM1-2-LR_ssp585_r1i1p1f1,2036.0,2050.0,2073.0,,14.418054199218773
13,MRI-ESM2-0_ssp126_r1i1p1f1,2025.0,2057.0,,,14.447320000000047
47,MRI-ESM2-0_ssp245_r1i1p1f1,2026.0,2044.0,,,14.447320000000047
82,MRI-ESM2-0_ssp370_r1i1p1f1,2026.0,2043.0,2070.0,,14.447320556640648
114,MRI-ESM2-0_ssp585_r1i1p1f1,2023.0,2035.0,2061.0,2081.0,14.447320556640648
8,NorESM2-LM_ssp126_r1i1p1f1,2056.0,,,,15.090020000000038
42,NorESM2-LM_ssp245_r1i1p1f1,2040.0,2067.0,,,15.090020000000038
77,NorESM2-LM_ssp370_r1i1p1f1,2041.0,2059.0,2088.0,,15.090020751953148
109,NorESM2-LM_ssp585_r1i1p1f1,2034.0,2050.0,2073.0,,15.090020751953148
3,NorESM2-MM_ssp126_r1i1p1f1,2033.0,,,,14.365260000000035
37,NorESM2-MM_ssp245_r1i1p1f1,2036.0,2053.0,,,14.365260000000035
71,NorESM2-MM_ssp370_r1i1p1f1,2035.0,2051.0,2081.0,,14.365258789062523
104,NorESM2-MM_ssp585_r1i1p1f1,2031.0,2044.0,2069.0,2088.0,14.365258789062523
14,TaiESM1_ssp126_r1i1p1f1,2020.0,2031.0,2078.0,,14.409270000000049
48,TaiESM1_ssp245_r1i1p1f1,2023.0,2034.0,2059.0,,14.409270000000049
83,TaiESM1_ssp370_r1i1p1f1,2024.0,2036.0,2056.0,2074.0,14.409265136718773
115,TaiESM1_ssp585_r1i1p1f1,2021.0,2031.0,2047.0,2062.0,14.409265136718773
15,UKESM1-0-LL_ssp126_r1i1p1f2,2020.0,2032.0,,,14.076200000000028
50,UKESM1-0-LL_ssp245_r1i1p1f2,2021.0,2031.0,2054.0,2085.0,14.076200000000028
84,UKESM1-0-LL_ssp370_r1i1p1f2,2020.0,2029.0,2048.0,2067.0,14.076196289062523
117,UKESM1-0-LL_ssp585_r1i1p1f2,2021.0,2029.0,2045.0,2058.0,14.076196289062523
